rgn_id,resilience score
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,0
20,1
21,0
24,1
25,1
26,0
28,1
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,0
59,1
60,0
61,1
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
84,1
85,0
86,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,1
107,0
108,0
110,1
111,0
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,1
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,0
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,0
161,0
162,1
163,1
164,1
166,1
167,1
168,1
169,0
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
212,0
213,0
214,1
215,1
216,1
218,1
219,0
220,0
221,0
222,1
223,1
224,1
227,0
228,0
231,0
232,1
237,0
244,0
245,0
247,1
248,0
249,0
250,0
